product_name,slug,currency,retail_amount,stripe_unit_amount
"Mayfair Kaftan",mayfair-kaftan,SGD,349,34900
"Mayfair Kaftan",mayfair-kaftan,BND,349,34900
"Mayfair Kaftan",mayfair-kaftan,MYR,1145,114500
"Mayfair Kaftan",mayfair-kaftan,MAD,2595,259500
"Mayfair Kaftan",mayfair-kaftan,NGN,379000,37900000
"Mayfair Kaftan",mayfair-kaftan,IDR,4950000,50000000
"Mayfair Kaftan",mayfair-kaftan,KZT,129000,12900000
"Mayfair Kaftan",mayfair-kaftan,AZN,469,46900
"Mayfair Kaftan",mayfair-kaftan,UZS,3295000,50000000
"Mayfair Kaftan",mayfair-kaftan,HKD,2198,219800
"Nothing Hill Kaftan",nothing-hill-kaftan,AED,975,97500
"Nothing Hill Kaftan",nothing-hill-kaftan,SAR,1045,104500
"Nothing Hill Kaftan",nothing-hill-kaftan,QAR,975,97500
"Nothing Hill Kaftan",nothing-hill-kaftan,OMR,109,109000
"Nothing Hill Kaftan",nothing-hill-kaftan,BHD,99,99000
"Nothing Hill Kaftan",nothing-hill-kaftan,KWD,89,89000
"Nothing Hill Kaftan",nothing-hill-kaftan,GBP,199,19900
"Nothing Hill Kaftan",nothing-hill-kaftan,EUR,249,24900
"Nothing Hill Kaftan",nothing-hill-kaftan,USD,299,29900
"Nothing Hill Kaftan",nothing-hill-kaftan,CHF,239,23900
"Nothing Hill Kaftan",nothing-hill-kaftan,RUB,20900,2090000
"Nothing Hill Kaftan",nothing-hill-kaftan,CNY,1998,199800
"Nothing Hill Kaftan",nothing-hill-kaftan,CAD,399,39900
"Nothing Hill Kaftan",nothing-hill-kaftan,SGD,349,34900
"Nothing Hill Kaftan",nothing-hill-kaftan,BND,349,34900
"Nothing Hill Kaftan",nothing-hill-kaftan,MYR,1145,114500
"Nothing Hill Kaftan",nothing-hill-kaftan,MAD,2595,259500
"Nothing Hill Kaftan",nothing-hill-kaftan,NGN,379000,37900000
"Nothing Hill Kaftan",nothing-hill-kaftan,IDR,4950000,50000000
"Nothing Hill Kaftan",nothing-hill-kaftan,KZT,129000,12900000
"Nothing Hill Kaftan",nothing-hill-kaftan,AZN,469,46900
"Nothing Hill Kaftan",nothing-hill-kaftan,UZS,3295000,50000000
"Nothing Hill Kaftan",nothing-hill-kaftan,HKD,2198,219800
"Knightsbridge Dress",knightsbridge-dress,AED,2199,219900
"Knightsbridge Dress",knightsbridge-dress,SAR,2295,229500
"Knightsbridge Dress",knightsbridge-dress,QAR,2199,219900
"Knightsbridge Dress",knightsbridge-dress,OMR,239,239000
"Knightsbridge Dress",knightsbridge-dress,BHD,229,229000
"Knightsbridge Dress",knightsbridge-dress,KWD,189,189000
"Knightsbridge Dress",knightsbridge-dress,GBP,449,44900
"Knightsbridge Dress",knightsbridge-dress,EUR,549,54900
"Knightsbridge Dress",knightsbridge-dress,USD,649,64900
"Knightsbridge Dress",knightsbridge-dress,CHF,499,49900
"Knightsbridge Dress",knightsbridge-dress,RUB,46900,4690000
"Knightsbridge Dress",knightsbridge-dress,CNY,4298,429800
"Knightsbridge Dress",knightsbridge-dress,CAD,899,89900
"Knightsbridge Dress",knightsbridge-dress,SGD,799,79900
"Knightsbridge Dress",knightsbridge-dress,BND,799,79900
"Knightsbridge Dress",knightsbridge-dress,MYR,2495,249500
"Knightsbridge Dress",knightsbridge-dress,MAD,5690,569000
"Knightsbridge Dress",knightsbridge-dress,NGN,829000,50000000
"Knightsbridge Dress",knightsbridge-dress,IDR,10895000,50000000
"Knightsbridge Dress",knightsbridge-dress,KZT,289000,28900000
"Knightsbridge Dress",knightsbridge-dress,AZN,1029,102900
"Knightsbridge Dress",knightsbridge-dress,UZS,7195000,50000000
"Knightsbridge Dress",knightsbridge-dress,HKD,4798,479800
"Covent Garden Long Dress",covent-garden-long-dress,AED,1699,169900
"Covent Garden Long Dress",covent-garden-long-dress,SAR,1745,174500
"Covent Garden Long Dress",covent-garden-long-dress,QAR,1699,169900
"Covent Garden Long Dress",covent-garden-long-dress,OMR,179,179000
"Covent Garden Long Dress",covent-garden-long-dress,BHD,179,179000
"Covent Garden Long Dress",covent-garden-long-dress,KWD,149,149000
"Covent Garden Long Dress",covent-garden-long-dress,GBP,349,34900
"Covent Garden Long Dress",covent-garden-long-dress,EUR,429,42900
"Covent Garden Long Dress",covent-garden-long-dress,USD,519,51900
"Covent Garden Long Dress",covent-garden-long-dress,CHF,389,38900
"Covent Garden Long Dress",covent-garden-long-dress,RUB,35900,3590000
"Covent Garden Long Dress",covent-garden-long-dress,CNY,3398,339800
"Covent Garden Long Dress",covent-garden-long-dress,CAD,699,69900
"Covent Garden Long Dress",covent-garden-long-dress,SGD,599,59900
"Covent Garden Long Dress",covent-garden-long-dress,BND,599,59900
"Covent Garden Long Dress",covent-garden-long-dress,MYR,1945,194500
"Covent Garden Long Dress",covent-garden-long-dress,MAD,4390,439000
"Covent Garden Long Dress",covent-garden-long-dress,NGN,649000,50000000
"Covent Garden Long Dress",covent-garden-long-dress,IDR,8395000,50000000
"Covent Garden Long Dress",covent-garden-long-dress,KZT,225000,22500000
"Covent Garden Long Dress",covent-garden-long-dress,AZN,799,79900
"Covent Garden Long Dress",covent-garden-long-dress,UZS,5595000,50000000
"Covent Garden Long Dress",covent-garden-long-dress,HKD,3698,369800
"Hampstead Dress",hampstead-dress,AED,1799,179900
"Hampstead Dress",hampstead-dress,SAR,1845,184500
"Hampstead Dress",hampstead-dress,QAR,1799,179900
"Hampstead Dress",hampstead-dress,OMR,189,189000
"Hampstead Dress",hampstead-dress,BHD,189,189000
"Hampstead Dress",hampstead-dress,KWD,149,149000
"Hampstead Dress",hampstead-dress,GBP,369,36900
"Hampstead Dress",hampstead-dress,EUR,449,44900
"Hampstead Dress",hampstead-dress,USD,549,54900
"Hampstead Dress",hampstead-dress,CHF,409,40900
"Hampstead Dress",hampstead-dress,RUB,37900,3790000
"Hampstead Dress",hampstead-dress,CNY,3598,359800
"Hampstead Dress",hampstead-dress,CAD,719,71900
"Hampstead Dress",hampstead-dress,SGD,649,64900
"Hampstead Dress",hampstead-dress,BND,649,64900
"Hampstead Dress",hampstead-dress,MYR,2095,209500
"Hampstead Dress",hampstead-dress,MAD,4690,469000
"Hampstead Dress",hampstead-dress,NGN,689000,50000000
"Hampstead Dress",hampstead-dress,IDR,8895000,50000000
"Hampstead Dress",hampstead-dress,KZT,239000,23900000
"Hampstead Dress",hampstead-dress,AZN,849,84900
"Hampstead Dress",hampstead-dress,UZS,5895000,50000000
"Hampstead Dress",hampstead-dress,HKD,3898,389800
"Covent Garden Signature Set",covent-garden-signature-set,AED,3199,319900
"Covent Garden Signature Set",covent-garden-signature-set,SAR,3295,329500
"Covent Garden Signature Set",covent-garden-signature-set,QAR,3199,319900
"Covent Garden Signature Set",covent-garden-signature-set,OMR,339,339000
"Covent Garden Signature Set",covent-garden-signature-set,BHD,329,329000
"Covent Garden Signature Set",covent-garden-signature-set,KWD,279,279000
"Covent Garden Signature Set",covent-garden-signature-set,GBP,649,64900
"Covent Garden Signature Set",covent-garden-signature-set,EUR,779,77900
"Covent Garden Signature Set",covent-garden-signature-set,USD,919,91900
"Covent Garden Signature Set",covent-garden-signature-set,CHF,719,71900
"Covent Garden Signature Set",covent-garden-signature-set,RUB,67900,6790000
"Covent Garden Signature Set",covent-garden-signature-set,CNY,6198,619800
"Covent Garden Signature Set",covent-garden-signature-set,CAD,1295,129500
"Covent Garden Signature Set",covent-garden-signature-set,SGD,1145,114500
"Covent Garden Signature Set",covent-garden-signature-set,BND,1145,114500
"Covent Garden Signature Set",covent-garden-signature-set,MYR,3695,369500
